season_number,episode_number_overall,episode_number,episode_title,episode_description,episode_airdate,episode_director,episode_writer,imdb_rating,imdb_votes,us_viewers_in_millions
12,263,9,Profiling 202,"While Rossi conducts a profiling course on his birthday, he receives a call from his nemesis Tommy Yates, who discloses the location of his latest victim.",2017-01-04,Rob Bailey,Virgil Williams,7.2,1667,7.27
12,264,10,Seek and Destroy,The team investigates a series of home invasions in San Diego involving casualties.,2017-01-11,Diana C. Valentine,Erik Stiller,7.1,1649,7.54
12,265,11,Surface Tension,"Reid has returned from Houston, where he was visiting his mother who is in a new facility on an experimental drug program. He is called back home from the office while the rest of the team heads off on their next case. It isn't until the team is in the air that they learn that Diana is no longer in the Houston facility, but that she is now living with Reid, as the trial drug was not having the intended effect. Reid had received professional advice that his mother should be in a facility both for her and his own good, but it may be news from a more caring rather than ...",2017-02-01,Oz Scott,Bruce Zimmerman,7.2,1881,7.45
12,266,12,A Good Husband,The BAU investigates the case of male victims found with no way to identify them.,2017-02-08,Laura Belsey,Jim Clemente,6.8,1866,6.7
12,267,13,Spencer,"When a member of the BAU gets in trouble in Mexico, they enlist the help of the International Response Team.",2017-02-15,Glenn Kershaw,Kirsten Vangsness & Erica Messer,7.8,1975,7.34
12,268,14,Collision Course,The BAU investigates a series of pedestrian deaths while a teammate's fate remains uncertain.,2017-02-22,Alec Smight,Stephanie SenGupta,7.3,1560,7.33
12,269,15,Alpha Male,"A series of acid attacks draw the BAU to Philadelphia, while Reid adjusts to a new reality.",2017-03-01,Rob Bailey,Karen Maser,7.3,1644,6.54
12,270,16,Assistance Is Futile,A mother comes forward with information to help the BAU in their investigation of an unsub called the Bone Crusher.,2017-03-15,Leon Ichaso,Virgil Williams,7.2,1832,7.5
12,271,17,In The Dark,The BAU suspects that two unsubs are operating at the same time when victims killed in different ways are found in the same city.,2017-03-22,Diana C. Valentine,Dania Bennett,7.4,1821,7.46
12,272,18,Hell's Kitchen,The BAU investigates an urban vampire who kidnaps his victims at night and holds them underground in the sewer system; Reid makes a difficult decision in prison.,2017-03-29,Simon Mirren,Erica Messer,7.3,1832,6.88
12,273,19,True North,Three victims are found tied to stakes in the Arizona desert.,2017-04-05,Joe Mantegna,Bruce Zimmerman,7.2,1794,7.04
12,274,20,Unforgettable,"The BAU investigates when several federal government employees, including a close friend of Walker's, succumb to symptoms of a heart attack; Reid anxiously awaits his trial date.",2017-04-26,Carlos Bernard,Stephanie SenGupta,7.5,1581,6.91
12,275,21,Green Light,"When Reid fears his mother has been abducted, he asks the BAU to investigate while he's stuck in prison.",2017-05-03,Alec Smight,Erik Stiller,8.1,1656,7.37
12,276,22,Red Light,Derek Morgan brings the BAU a lead in the case against serial killer and escaped convict Mr. Scratch.,2017-05-10,Glenn Kershaw,Breen Frazier,8.3,1715,8.12
13,277,1,Wheels Up,"In the wake of a devastating attack, the BAU works with former International Response Team member Matthew Simmons to save one of their own from escaped serial killer Peter Lewis.",2017-09-27,Glenn Kershaw,Breen Frazier,8.1,1529,7.0
13,278,2,To A Better Place,"Following the final incident with Scratch, the team has been taking a mandatory break to decompress. In addition, Reid has gone through his reinstatement evaluation, he who has been conditionally reinstated without the possibility of negotiation on that condition. In their time off, there has been a backlog of cases. However, they depart to Naples, Florida on a case of some currency, as a female has just been discovered murdered, her body stuffed into an old suitcase and placed in a public location. She is the second victim, the first as of yet an unidentifiable Jane ...",2017-10-04,Diana C. Valentine,Bruce Zimmerman,7.5,1693,6.17
13,279,3,Blue Angel,"The BAU team members head to Detroit, Michigan where two men in two weeks have been discovered dead. Both were married, Caucasian, mildly successful professionals. Both were found in very public places hanging by a meat hook, naked and their private parts cut off pre-mortem. The authorities eventually receive a snuff movie of the second victim, Curtis Wyler, including the entire time it took him to bleed out to death. The team analyzes the video in order to find any clues as to the unsub's whereabouts. Garcia discovers that both men had been systematically withdrawing...",2017-10-11,Sharat Raju,Christopher Barbour,7.3,1334,5.87
13,280,4,Killer App,The BAU investigates a workplace shooting committed by a state-of-the-art drone in Silicon Valley.,2017-10-18,Alec Smight,Stephanie SenGupta,7.5,1410,5.94
13,281,5,Lucky Strikes,"When Garcia experiences anxiety over a case that's personal to her from her past, Morgan visits to lend emotional support.",2017-10-25,Tawnia McKiernan,Jim Clemente,7.7,1270,5.91
13,282,6,The Bunker,The BAU must find out what several missing women have in common to find them.,2017-11-08,Aisha Tyler,Karen Maser,7.7,1634,5.5
13,283,7,Dust and Bones,"The team heads to Austin, Texas, where two women are abducted and disfigured, only to be located a day later with no recollection of what happened to them. A third emerges shortly after the team's arrival in Austin.",2017-11-15,Marcus Stokes,Erica Meredith,7.3,1495,5.64
13,284,8,Neon Terror,The BAU is called in to investigate when a criminal sensationalizes his crimes by giving the local media exclusive footage.,2017-11-22,Bethany Rooney,Erik Stiller,7.0,1020,6.31
